Year,Wage_bracket_0_to_9999,Contribution_by_Gdp,Growth_of_GDP,Industry
2016,"4,391",31.1,4.7,"Agriculture, Forestry And Fishing"
2016,253,0.8,9.5,Mining And Quarrying
2016,"1,326",9.3,3.1,Manufacturing
2016,91,1.9,9.5,"Electricity, Gas, Steam And Air Conditioning Supply"
2016,200,0.7,5.8,"Water Supply; Sewerage, Waste Management And Remediation Activities"
2016,"3,449",5.1,9.9,Construction
2016,"2,203",7.2,3.7,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles
2016,605,8.1,6.5,Transportation And Storage
2016,160,0.7,13.3,Accommodation And Food Service Activities
2016,"1,022",1.5,9.9,Information And Communication
2016,402,7.1,6.9,Financial And Insurance Activities
2016,345,7.6,8.8,Real Estate Activities
2016,"3,221",0.9,5.1,"Professional, Scientific And Technical Activities"
2016,215,1,3.9,Administrative And Support Service Activities
2016,978,3.9,5.6,Public Administration And Defence; Compulsory Social Security
2016,"3,331",4.4,5.3,Education
2016,960,1.7,4.8,Human Health And Social Work Activities
2016,46,0.1,5.4,"Arts, Entertainment And Recreation"
2016,552,0.6,6,Other Service Activities
2016,316,0.5,1.4,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use
2016,365,-2.8,,Activities Of Extraterritorial Organizations And Bodies
